Date,Children apprehended and placed in CBP custody,Children transferred out of CBP custody,Children discharged from HHS Care,Children in CBP custody,Children in HHS Care
2025-02-09,239,274,299,617,7981
2025-02-10,266,242,273,641,7950
2025-02-11,266,252,229,655,7973
2025-02-12,261,247,266,669,7954
2025-02-13,223,212,220,680,7946
2025-02-14,258,279,308,659,7917
2025-02-15,239,214,205,684,7926
2025-02-16,283,280,287,687,7919
2025-02-17,292,258,253,721,7924
2025-02-18,273,298,308,696,7914
2025-02-19,283,270,266,709,7918
2025-02-20,233,195,188,747,7925
2025-02-21,217,220,236,744,7909
2025-02-22,227,227,250,744,7886
2025-02-23,272,247,243,769,7890
2025-02-24,262,285,263,746,7912
2025-02-25,287,287,220,746,7979
2025-02-26,249,245,223,750,8001
2025-02-27,240,199,210,791,7990
2025-02-28,224,209,215,806,7984
2025-03-01,236,254,252,788,7986
2025-03-02,273,273,277,788,7982
2025-03-03,295,315,368,768,7929
2025-03-04,288,308,311,748,7926
2025-03-05,280,277,252,751,7951
2025-03-06,249,271,251,729,7971
2025-03-07,240,235,250,734,7956
2025-03-08,249,279,243,704,7992
2025-03-09,262,302,320,664,7974
2025-03-10,272,269,216,667,8027
2025-03-11,280,271,248,676,8050
2025-03-12,280,300,310,656,8040
2025-03-13,256,251,285,661,8006
2025-03-14,248,254,269,655,7991
2025-03-15,238,252,215,641,8028
2025-03-16,274,281,270,634,8039
2025-03-17,287,324,382,597,7981
2025-03-18,271,253,286,615,7948
2025-03-19,249,263,253,601,7958
2025-03-20,237,243,285,595,7916
2025-03-21,251,220,217,626,7919
2025-03-22,252,214,183,664,7950
2025-03-23,261,304,343,621,7911
2025-03-24,295,309,272,607,7948
2025-03-25,279,282,252,604,7978
2025-03-26,299,285,319,618,7944
2025-03-27,256,268,297,606,7915
2025-03-28,263,278,300,591,7893
2025-03-29,241,225,196,607,7922
2025-03-30,260,257,298,610,7881
2025-03-31,263,278,274,595,7885
2025-04-01,294,313,332,576,7866
2025-04-02,286,310,307,552,7869
2025-04-03,246,208,223,590,7854
2025-04-04,221,234,245,577,7843
2025-04-05,248,234,235,591,7842
2025-04-06,249,239,232,601,7849
2025-04-07,262,287,298,576,7838
2025-04-08,270,255,297,591,7796
2025-04-09,279,276,288,594,7784
2025-04-10,245,217,221,622,7780
2025-04-11,249,251,244,620,7787
2025-04-12,234,250,230,604,7807
2025-04-13,258,223,250,639,7780
2025-04-14,260,250,244,649,7786
2025-04-15,260,259,226,650,7819
2025-04-16,263,296,315,617,7800
2025-04-17,240,251,270,606,7781
2025-04-18,219,209,193,616,7797
2025-04-19,234,230,244,620,7783
2025-04-20,248,286,288,582,7781
2025-04-21,267,300,273,549,7808
2025-04-22,266,238,237,577,7809
2025-04-23,258,255,245,580,7819
2025-04-24,264,239,193,605,7865
2025-04-25,228,272,237,561,7900
2025-04-26,252,255,215,558,7940
2025-04-27,233,218,238,573,7920
2025-04-28,261,238,193,596,7965
2025-04-29,277,251,264,622,7952
2025-04-30,256,235,216,643,7971
2025-05-01,270,310,315,603,7966
2025-05-02,260,265,288,598,7943
2025-05-03,274,261,260,611,7944
2025-05-04,275,296,306,590,7934
2025-05-05,311,337,338,564,7933
2025-05-06,274,251,290,587,7894
2025-05-07,249,243,268,593,7869
2025-05-08,233,230,226,596,7873
2025-05-09,213,203,205,606,7871
2025-05-10,232,230,227,608,7874
2025-05-11,250,217,174,641,7917
2025-05-12,253,260,278,634,7899
2025-05-13,240,248,233,626,7914
2025-05-14,258,264,270,620,7908
2025-05-15,252,254,325,618,7837
2025-05-16,244,235,186,627,7886
2025-05-17,211,187,171,651,7902
2025-05-18,250,220,221,681,7901
2025-05-19,253,236,252,698,7885
2025-05-20,266,262,276,702,7871
2025-05-21,250,254,235,698,7890
2025-05-22,231,243,257,686,7876
2025-05-23,237,253,279,670,7850
2025-05-24,235,264,271,641,7843
2025-05-25,241,242,224,640,7861
2025-05-26,265,252,255,653,7858
2025-05-27,260,291,275,622,7874
2025-05-28,238,214,171,646,7917
2025-05-29,234,222,182,658,7957
2025-05-30,216,242,239,632,7960
2025-05-31,242,253,251,621,7962
2025-06-01,246,236,207,631,7991
2025-06-02,261,245,270,647,7966
2025-06-03,243,238,273,652,7931
2025-06-04,230,247,270,635,7908
2025-06-05,204,208,225,631,7891
2025-06-06,213,187,201,657,7877
2025-06-07,211,216,170,652,7923
2025-06-08,220,257,228,615,7952
2025-06-09,242,273,264,584,7961
2025-06-10,245,225,248,604,7938
2025-06-11,237,242,202,599,7978
2025-06-12,213,187,186,625,7979
2025-06-13,216,152,135,689,7996
2025-06-14,213,223,235,679,7984
2025-06-15,244,238,272,685,7950
2025-06-16,256,261,305,680,7906
2025-06-17,243,270,271,653,7905
2025-06-18,229,220,245,662,7880
2025-06-19,226,199,176,689,7903
2025-06-20,203,187,227,705,7863
2025-06-21,213,213,206,705,7870
2025-06-22,225,226,235,704,7861
2025-06-23,235,187,186,752,7862
2025-06-24,237,228,245,761,7845
2025-06-25,213,215,219,759,7841
2025-06-26,200,210,200,749,7851
2025-06-27,200,224,194,725,7881
2025-06-28,179,160,173,744,7868
2025-06-29,196,216,218,724,7866
2025-06-30,238,217,185,745,7898
2025-07-01,231,214,225,762,7887
2025-07-02,257,256,295,763,7848
2025-07-03,182,175,178,770,7845
2025-07-04,198,203,185,765,7863
2025-07-05,203,162,136,806,7889
2025-07-06,199,184,233,821,7840
2025-07-07,198,181,176,838,7845
2025-07-08,202,186,160,854,7871
2025-07-09,226,277,342,803,7806
2025-07-10,203,169,163,837,7812
2025-07-11,176,200,211,813,7801
2025-07-12,220,212,229,821,7784
2025-07-13,195,229,192,787,7821
2025-07-14,205,195,215,797,7801
2025-07-15,227,267,279,757,7789
2025-07-16,211,223,215,745,7797
2025-07-17,177,200,232,722,7765
2025-07-18,182,144,142,760,7767
2025-07-19,272,334,331,698,7770
2025-07-20,291,315,262,674,7823
2025-07-21,357,342,321,689,7844
2025-07-22,339,351,340,677,7855
2025-07-23,305,283,257,699,7881
2025-07-24,276,244,252,731,7873
2025-07-25,275,266,276,740,7863
2025-07-26,283,307,329,716,7841
2025-07-27,308,295,280,729,7856
2025-07-28,305,337,315,697,7878
2025-07-29,316,311,295,702,7894
2025-07-30,273,298,294,677,7898
2025-07-31,309,314,340,672,7872
2025-08-01,285,315,309,642,7878
2025-08-02,273,250,282,665,7846
2025-08-03,322,335,381,652,7800
2025-08-04,336,366,391,622,7775
2025-08-05,324,321,330,625,7766
2025-08-06,198,172,146,651,7792
2025-08-07,199,169,157,681,7804
2025-08-08,172,156,160,697,7800
2025-08-09,183,170,165,710,7805
2025-08-10,186,189,152,707,7842
2025-08-11,206,206,192,707,7856
2025-08-12,198,210,197,695,7869
2025-08-13,188,209,229,674,7849
2025-08-14,179,184,213,669,7820
2025-08-15,165,168,179,666,7809
2025-08-16,185,181,124,670,7866
2025-08-17,182,154,134,698,7886
2025-08-18,206,233,258,671,7861
2025-08-19,202,223,224,650,7860
2025-08-20,194,181,202,663,7839
2025-08-21,152,133,103,682,7869
2025-08-22,141,153,176,670,7846
2025-08-23,156,167,173,659,7840
2025-08-24,163,153,174,669,7819
2025-08-25,169,200,201,638,7818
2025-08-26,178,159,174,657,7803
2025-08-27,191,213,238,635,7778
2025-08-28,171,151,169,655,7760
2025-08-29,146,165,156,636,7769
2025-08-30,150,167,146,619,7790
2025-08-31,176,146,130,649,7806
2025-09-01,196,170,178,675,7798
2025-09-02,184,179,186,680,7791
2025-09-03,191,150,152,721,7789
2025-09-04,174,141,130,754,7800
2025-09-05,144,134,116,764,7818
2025-09-06,146,186,214,724,7790
2025-09-07,203,179,173,748,7796
2025-09-08,174,160,157,762,7799
2025-09-09,183,206,208,739,7797
2025-09-10,190,186,197,743,7786
2025-09-11,159,149,180,753,7755
2025-09-12,158,175,184,736,7746
2025-09-13,177,230,255,683,7721
2025-09-14,147,125,156,705,7690
2025-09-15,195,162,106,738,7746
2025-09-16,185,148,161,775,7733
2025-09-17,177,181,180,771,7734
2025-09-18,162,170,165,763,7739
2025-09-19,157,177,220,743,7696
2025-09-20,152,171,253,724,7614
2025-09-21,141,155,161,710,7608
2025-09-22,190,214,239,686,7583
2025-09-23,210,242,269,654,7556
2025-09-24,150,152,144,652,7564
2025-09-25,173,151,118,674,7597
2025-09-26,179,178,179,675,7596
2025-09-27,168,200,188,643,7608
2025-09-28,160,180,214,623,7574
2025-09-29,181,199,181,605,7592
2025-09-30,182,162,136,625,7618
2025-10-01,165,154,116,636,7656
2025-10-02,163,198,205,601,7649
2025-10-03,170,155,141,616,7663
2025-10-04,144,80,97,680,7646
2025-10-05,159,196,174,643,7668
2025-10-06,167,172,157,638,7683
2025-10-07,177,200,199,615,7684
2025-10-08,159,137,178,637,7643
2025-10-09,159,141,137,655,7647
2025-10-10,168,211,216,612,7642
2025-10-11,164,157,154,619,7645
2025-10-12,168,149,120,638,7674
2025-10-13,169,166,124,641,7716
2025-10-14,167,153,178,655,7691
2025-10-15,196,154,199,697,7646
2025-10-16,164,189,200,672,7635
2025-10-17,146,135,132,683,7638
2025-10-18,177,202,196,658,7644
2025-10-19,169,174,147,653,7671
2025-10-20,188,160,159,681,7672
2025-10-21,189,173,192,697,7653
2025-10-22,174,219,224,652,7648
2025-10-23,148,132,71,668,7709
2025-10-24,145,140,134,673,7715
2025-10-25,164,202,223,635,7694
2025-10-26,176,141,189,670,7646
2025-10-27,175,159,174,686,7631
2025-10-28,189,203,156,672,7678
2025-10-29,160,187,156,645,7709
2025-10-30,165,166,165,644,7710
2025-10-31,156,124,120,676,7714
2025-11-01,157,191,187,642,7718
2025-11-02,167,168,165,641,7721
2025-11-03,168,160,177,649,7704
2025-11-04,182,159,189,672,7674
2025-11-05,179,208,235,643,7647
2025-11-06,171,151,121,663,7677
2025-11-07,162,129,121,696,7685
2025-11-08,163,129,140,730,7674
2025-11-09,194,242,261,682,7655
2025-11-10,190,198,138,674,7715
2025-11-11,183,185,155,672,7745
2025-11-12,193,223,222,642,7746
2025-11-13,182,148,157,676,7737
2025-11-14,154,141,145,689,7733
2025-11-15,174,199,181,664,7751
2025-11-16,184,182,173,666,7760
2025-11-17,188,193,172,661,7781
2025-11-18,173,156,169,678,7768
2025-11-19,202,218,227,662,7759
2025-11-20,188,195,200,655,7754
2025-11-21,186,220,192,621,7782
2025-11-22,160,192,168,589,7806
2025-11-23,171,167,131,593,7842
2025-11-24,205,162,191,636,7813
2025-11-25,190,169,211,657,7771
2025-11-26,186,163,178,680,7756
2025-11-27,172,200,179,652,7777
2025-11-28,173,187,182,638,7782
2025-11-29,197,169,177,666,7774
2025-11-30,180,201,169,645,7806
2025-12-01,193,173,210,665,7769
2025-12-02,215,253,213,627,7809
2025-12-03,162,131,149,658,7791
2025-12-04,174,131,106,701,7816
2025-12-05,191,134,167,758,7783
2025-12-06,200,231,213,727,7801
2025-12-07,203,248,290,682,7759
2025-12-08,212,230,196,664,7793
2025-12-09,232,244,225,652,7812
2025-12-10,211,140,145,723,7807
2025-12-11,167,152,164,738,7795
2025-12-12,194,208,219,724,7784
2025-12-13,204,190,126,738,7848
2025-12-14,210,209,231,739,7826
2025-12-15,210,211,224,738,7813
2025-12-16,211,214,236,735,7791
2025-12-17,186,186,205,735,7772
2025-12-18,201,215,245,721,7742
2025-12-19,183,189,186,715,7745
2025-12-20,191,199,170,707,7774
2025-12-21,179,173,175,713,7772
2025-12-22,224,213,198,724,7787
2025-12-23,216,199,270,741,7716
2025-12-24,223,229,229,735,7716
2025-12-25,189,204,188,720,7732
2025-12-26,169,151,104,738,7779
2025-12-27,217,198,206,757,7771
2025-12-28,206,192,179,771,7784
2025-12-29,225,218,216,778,7786
2025-12-30,226,233,208,771,7811
2025-12-31,208,209,213,770,7807
